VENUE_ID;VENUE_STATUS;INTEGRATION_SOURCE;SMARTSPOT_ENABLED;ADDITIONAL_PHOTOS;REVIEWS;REV_30_DAYS;VENUE_LIFECYCLE
264;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$59 ;ESTABLISHED
265;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$64 ;ESTABLISHED
266;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$7.278 ;ESTABLISHED
267;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$662 ;ESTABLISHED
268;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$79 ;ESTABLISHED
269;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$91 ;ESTABLISHED
270;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$580 ;ESTABLISHED
271;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.587 ;ESTABLISHED
272;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$45 ;ESTABLISHED
273;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$37 ;ESTABLISHED
274;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$7.857 ;ESTABLISHED
275;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$40 ;ESTABLISHED
276;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$72 ;ESTABLISHED
277;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$272 ;ESTABLISHED
278;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$341 ;ESTABLISHED
279;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$865 ;ESTABLISHED
280;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$4 ;ESTABLISHED
281;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$44 ;ESTABLISHED
282;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$688 ;ESTABLISHED
283;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$100 ;ESTABLISHED
284;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$61 ;ESTABLISHED
285;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.207 ;ESTABLISHED
286;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$1.349 ;ESTABLISHED
287;CHURNED;INTEGRATED;TRUE;FALSE;FALSE;R$585 ;EARLY
288;ACTIVE;INTEGRATED;TRUE;TRUE;FALSE;R$9.384 ;ESTABLISHED
289;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$3.524 ;ESTABLISHED
290;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$423 ;ESTABLISHED
291;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$34 ;ESTABLISHED
292;ACTIVE;MANUAL;FALSE;FALSE;TRUE;R$600 ;ESTABLISHED
